hashtags,tweets,neg,neu,pos,compound
modi,RT drshamamohd CAG report exposes massive corruption smritiirani making payments Rs 593cr MPLAD funds without tender W…,0.086,0.914,0.0,-0.128
modi,RT JhaSanjay Dear Modi Ji know never hold presser fear understandable Actually begun empathize you…,0.0,0.713,0.287,0.6402
modi,RT drshamamohd China blocks blacklisting MasoodAzhar Saudi Arabia gives 20 billion Pakistan right PulwamaAttack US st…,0.112,0.888,0.0,-0.2263
modi,RT RatanSharda55 much corruption immeasurable seems challenge Modi end corruption Max criminal cases co…,0.204,0.719,0.078,-0.4767
modi,MODI MUMKIN ModiFor2019 ModiForAkhandBharat ModiAgain2019 httpstcoW9QdLs7epr,0.0,1.0,0.0,0.0
modi,RT drshamamohd CAG report exposes massive corruption smritiirani making payments Rs 593cr MPLAD funds without tender W…,0.086,0.914,0.0,-0.128
modi,RT anupamdeb775 Modi created paradigm talking directly people form monologues amp ignore media maun medi…,0.143,0.743,0.114,-0.128
modi,RT vishalnautamlal doubt BJP4India delivered many promises given Fact remains today thr political party as…,0.126,0.606,0.268,0.4215
modi,RT RatanSharda55 much corruption immeasurable seems challenge Modi end corruption Max criminal cases co…,0.204,0.719,0.078,-0.4767
modi,RT RatanSharda55 much corruption immeasurable seems challenge Modi end corruption Max criminal cases co…,0.204,0.719,0.078,-0.4767
modi,RT JhaSanjay Dear Modi Ji know never hold presser fear understandable Actually begun empathize you…,0.0,0.713,0.287,0.6402
modi,RT drshamamohd China blocks blacklisting MasoodAzhar Saudi Arabia gives 20 billion Pakistan right PulwamaAttack US st…,0.112,0.888,0.0,-0.2263
modi,RT JhaSanjay Dear Modi Ji know never hold presser fear understandable Actually begun empathize you…,0.0,0.713,0.287,0.6402
modi,RT drshamamohd China blocks blacklisting MasoodAzhar Saudi Arabia gives 20 billion Pakistan right PulwamaAttack US st…,0.112,0.888,0.0,-0.2263
modi,Congress leader Tom Vadakkan joins Bharatiya Janata Party presence Union Minister Ravi Shankar Prasad… httpstcocV9IXHkVIz,0.0,0.838,0.162,0.4019
modi,RT RatanSharda55 much corruption immeasurable seems challenge Modi end corruption Max criminal cases co…,0.204,0.719,0.078,-0.4767
modi,RT drshamamohd CAG report exposes massive corruption smritiirani making payments Rs 593cr MPLAD funds without tender W…,0.086,0.914,0.0,-0.128
modi,RT drshamamohd China blocks blacklisting MasoodAzhar Saudi Arabia gives 20 billion Pakistan right PulwamaAttack US st…,0.112,0.888,0.0,-0.2263
modi,sardesairajdeep 1 thng sure India allies f countries except China Ths hightime diplomacy Cou… httpstcoYCVIshPd3z,0.0,0.839,0.161,0.3182
modi,RT drshamamohd China blocks blacklisting MasoodAzhar Saudi Arabia gives 20 billion Pakistan right PulwamaAttack US st…,0.112,0.888,0.0,-0.2263
modi,RT purekhalsa2020 Sikh protestors respond coming attack proIndia Modi group outside Indian High Commission London du…,0.171,0.829,0.0,-0.4767
modi,RT FatyachandJ सौभाग्य योजना के अन्तर्गत 5 करोड़ से अधिक परिवारों को मिला मुफ्त बिजली कनेक्शन यही हैं अच्छे दिन किसी को लगता है हिन्दू ख…,0.0,1.0,0.0,0.0
modi,RT JhaSanjay Dear Modi Ji know never hold presser fear understandable Actually begun empathize you…,0.0,0.713,0.287,0.6402
modi,RT RatanSharda55 much corruption immeasurable seems challenge Modi end corruption Max criminal cases co…,0.204,0.719,0.078,-0.4767
modi,RT Son0fPakistan careful travelling India U could either killed False Flag operation extremist hindus sexually…,0.249,0.663,0.088,-0.5994
modi,RT RatanSharda55 much corruption immeasurable seems challenge Modi end corruption Max criminal cases co…,0.204,0.719,0.078,-0.4767
modi,RT Son0fPakistan Explains Gambhir’s anti Pakistan tirade wanted BJP ticket 2 run elections Disgusting ppl capita…,0.305,0.695,0.0,-0.6908
modi,RT RatanSharda55 much corruption immeasurable seems challenge Modi end corruption Max criminal cases co…,0.204,0.719,0.078,-0.4767
modi,RT RatanSharda55 much corruption immeasurable seems challenge Modi end corruption Max criminal cases co…,0.204,0.719,0.078,-0.4767
modi,RT drshamamohd China blocks blacklisting MasoodAzhar Saudi Arabia gives 20 billion Pakistan right PulwamaAttack US st…,0.112,0.888,0.0,-0.2263
modi,Explains Gambhir’s anti Pakistan tirade wanted BJP ticket 2 run elections Disgusting ppl c… httpstcoj4mtGBFDRl,0.322,0.678,0.0,-0.6908
modi,RT RatanSharda55 much corruption immeasurable seems challenge Modi end corruption Max criminal cases co…,0.204,0.719,0.078,-0.4767
modi,RT drshamamohd CAG report exposes massive corruption smritiirani making payments Rs 593cr MPLAD funds without tender W…,0.086,0.914,0.0,-0.128
modi,RT RatanSharda55 much corruption immeasurable seems challenge Modi end corruption Max criminal cases co…,0.204,0.719,0.078,-0.4767
modi,RT PreetiKaur61 UK Brahmin UpperClass Hindus carrying posters disgrace Sikh turban warmonger Modi go war with…,0.458,0.542,0.0,-0.9001
modi,RT RatanSharda55 much corruption immeasurable seems challenge Modi end corruption Max criminal cases co…,0.204,0.719,0.078,-0.4767
modi,Kashmiri BJP Workers party meeting Kashmir Hiding faces Convention Srinagar full video👉… httpstcow1xpfGmSqL,0.138,0.692,0.17,0.128
modi,RT RatanSharda55 much corruption immeasurable seems challenge Modi end corruption Max criminal cases co…,0.204,0.719,0.078,-0.4767
modi,RT RatanSharda55 much corruption immeasurable seems challenge Modi end corruption Max criminal cases co…,0.204,0.719,0.078,-0.4767
modi,RT JhaSanjay Modi’s knowledge foreign policy written back mini postage stamp ChinaBacksMasood,0.0,1.0,0.0,0.0
modi,RT drshamamohd China blocks blacklisting MasoodAzhar Saudi Arabia gives 20 billion Pakistan right PulwamaAttack US st…,0.112,0.888,0.0,-0.2263
modi,RT actorprepares alumni amp tv star ashish30sharma amazingly adept transforming characters portrays Check this…,0.0,1.0,0.0,0.0
